Interview number (ongoing),Tax Scenario: How likely are you to trust AI in conducting the review correctly? (1 = very unlikely; 5 = very likely),Tax Scenario: How does the breakdown of process steps affect your trust in the AI-driven decision? (1 = decreases trust significantly; 5 = increases trust significantly),Tax Scenario: How does the option to contact a tax officer affect your trust in the AI-driven decision? (1 = decreases trust significantly; 5 = increases trust significantly),Tax Scenario: How likely are you to comply with the request? (1 = very unlikely; 5 = very likely),Benefits Scenario: How likely are you to trust AI in conducting the review correctly? (1 = very unlikely; 5 = very likely),Benefits Scenario: How do the details about which data was used in the decision process affect your trust in the AI-driven decision? (1 = decreases trust significantly; 5 = increases trust significantly),Benefits Scenario: How does the specific information about where you do not meet the criteria affect your trust in hte AI-driven decision? (1 = decreases trust significantly; 5 = increases trust significantly),Benefits Scenario: How does the option to appeal the decision affect your trust in the AI-driven decision? (1 = decreases trust significantly; 5 = increases trust significantly), Familiarity with AI applications in public services,Experience with AI: Residual option (negative) or number of selected options,Experience with AI: No interaction with AI so far,"Experience with AI: I have interacted with AI services (e.g., chatbots, virtual assistants, or online services)",Experience with AI: I regularly use AI in private or professional setting,Experience with AI: I have previously received an AI-based decision from public services,Benefits - AI public services: Faster processing,Benefits - AI public services: Greater accuracy,Benefits - AI public services: Reducing costs,Benefits - AI public services: Fairer decisions,Benefits - AI public services: Increased efficiency,Concerns - AI public services: Transparency,Concerns - AI public services: Data privacy,Concerns - AI public services: Errors in decision-making,Concerns - AI public services: Bias,Concerns - AI public services: Lack of human oversight,overall assessment of AI in public services,AI public services comfort level,Trust AI public services scale: Tax administration,Trust AI public services scale: Social benefit distribution (Familienbeihilfe),Trust AI public services scale: AMS services (job searching),Trust AI public services scale: Public Security (Police),Trust AI public services scale: Health Care,Trust AI public services scale: School System,Influence Trust Factors: Human oversight on each AI decision,Influence Trust Factors: Data Transparency - information about the personal data used for the decision,Influence Trust Factors: Process Transparency - information about the steps and involved people in the decision-making process,Influence Trust Factors: Outcome transparency - decision factors are explained for justification,Influence Trust Factors: Regular audits of the AI system,Influence Trust Factors: The ability to appeal AI decisions,Influence Trust Factors: Public reporting on AI decision-making outcomes,Age,Gender,Education Level,Employment Status,Austria
50,3,2,2,1,3,2,1,2,5,3,1,2,2,2,5,5,4,5,5,3,2,4,4,3,2,2,4,3,4,3,4,3,4,3,4,3,4,3,4,1,2,5,2,1
62,4,5,5,5,4,5,5,5,2,2,1,2,2,1,5,5,5,5,5,4,2,3,4,4,4,4,4,4,3,3,4,4,5,4,5,5,5,5,5,2,2,5,4,1
67,3,4,4,4,2,4,4,5,2,1,1,2,1,1,4,3,2,2,3,3,5,4,4,3,2,2,3,3,1,1,2,2,5,4,4,4,5,4,2,2,1,5,4,1
72,3,4,4,5,2,4,4,4,4,1,1,1,2,1,5,4,5,4,5,4,4,3,2,4,4,4,2,4,4,2,3,5,4,4,4,4,4,4,4,1,2,5,4,1
76,2,3,5,4,1,3,2,4,1,2,1,2,2,1,3,2,3,1,3,5,5,5,5,5,1,1,1,1,1,1,3,3,5,4,4,4,5,4,5,1,1,5,4,1
82,4,3,4,5,4,5,4,3,3,2,1,2,2,1,3,4,3,4,4,4,5,4,5,4,4,4,4,2,4,2,2,4,2,4,2,3,4,4,4,2,1,7,1,1
84,4,4,5,5,4,4,5,5,3,1,1,2,1,1,5,4,5,3,4,5,5,5,5,5,4,3,4,4,4,3,2,3,5,5,5,5,5,5,5,1,2,5,4,1
86,3,3,4,4,2,3,2,1,2,1,2,1,1,1,2,2,2,2,2,5,5,5,5,5,2,2,3,1,1,2,2,3,4,3,2,3,3,3,2,5,1,5,1,1
89,2,4,3,5,2,3,3,3,3,1,1,2,1,1,4,4,2,5,4,5,5,5,5,5,1,1,3,2,1,1,1,1,5,5,2,5,4,3,4,3,2,2,6,1
91,3,4,3,4,3,3,3,2,4,2,1,2,1,2,2,3,2,2,3,2,2,3,3,2,4,4,3,3,2,4,4,4,4,3,3,3,,4,3,2,1,5,2,1
93,2,3,5,4,4,5,5,5,2,2,1,2,2,1,5,3,5,5,5,4,5,5,2,4,4,4,4,5,5,4,4,4,4,5,5,5,5,5,5,2,2,5,2,1
94,2,3,4,2,1,3,3,2,2,1,1,1,2,1,5,3,4,2,3,5,5,3,4,5,2,1,3,2,4,3,4,4,4,4,4,4,4,4,4,2,2,5,2,1
